match_id,match_seq_num,radiant_win,start_time,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
8807786813,7402362752,False,1778566068,1594,7,22,23,4,153,"[25, 87, 40, 14, 138]","[81, 64, 111, 35, 28]"
8807786807,7402363816,True,1778566083,1719,7,22,44,7,118,"[62, 12, 2, 36, 101]","[84, 14, 63, 138, 16]"
8807786790,7402364825,True,1778566083,1914,7,22,75,5,121,"[67, 72, 111, 47, 120]","[99, 5, 22, 63, 135]"
8807786784,7402366123,True,1778566078,2075,7,22,45,5,381,"[36, 54, 84, 71, 49]","[93, 96, 5, 14, 105]"
8807786783,7402359815,True,1778566078,1283,0,23,61,2,151,"[37, 123, 44, 42, 34]","[26, 86, 75, 107, 41]"
8807786778,7402359117,True,1778566078,1223,0,23,63,5,410,"[14, 86, 135, 40, 74]","[138, 99, 110, 91, 49]"
8807786777,7402360459,True,1778566078,1388,0,23,31,2,122,"[111, 66, 14, 81, 62]","[104, 54, 101, 6, 107]"
8807786771,7402363944,False,1778566078,1865,0,23,52,3,153,"[40, 85, 41, 25, 26]","[44, 14, 22, 74, 97]"
8807786770,7402362813,False,1778566078,1722,0,23,61,2,193,"[35, 114, 71, 22, 84]","[75, 101, 54, 26, 12]"
8807786769,7402362657,True,1778566073,1618,7,22,33,2,223,"[36, 35, 135, 84, 7]","[104, 96, 75, 1, 81]"
8807786768,7402358502,True,1778566073,1137,0,23,14,2,273,"[86, 84, 31, 35, 6]","[26, 123, 8, 106, 14]"
8807786767,7402365911,False,1778566068,2055,7,22,23,4,227,"[106, 14, 9, 145, 47]","[93, 72, 86, 32, 97]"
8807786765,7402366111,False,1778566058,2073,7,22,53,7,227,"[126, 29, 7, 1, 26]","[123, 75, 21, 54, 106]"
8807786757,7402360851,True,1778566048,1456,0,23,53,4,227,"[35, 41, 101, 97, 110]","[54, 56, 135, 22, 45]"
8807786749,7402366685,True,1778566063,2154,0,22,35,4,182,"[11, 65, 30, 31, 21]","[34, 110, 14, 6, 8]"
8807786748,7402363050,True,1778566063,1667,7,22,41,2,152,"[108, 30, 75, 11, 26]","[27, 100, 145, 80, 120]"
8807786740,7402364696,False,1778566068,1884,7,22,53,6,183,"[126, 9, 73, 41, 135]","[48, 11, 136, 53, 60]"
8807786736,7402359992,True,1778566073,1322,0,23,45,4,272,"[26, 111, 2, 4, 113]","[31, 51, 53, 86, 14]"
8807786734,7402365737,True,1778566073,2049,7,22,35,7,185,"[14, 36, 53, 114, 69]","[110, 135, 80, 15, 87]"
8807786725,7402365575,True,1778566073,2020,7,22,23,2,227,"[35, 86, 71, 19, 56]","[28, 75, 85, 11, 93]"
8807786724,7402366104,False,1778566073,2135,0,23,62,1,251,"[14, 114, 123, 60, 126]","[119, 26, 76, 8, 36]"
8807786717,7402366629,True,1778566038,2109,7,22,74,3,151,"[22, 65, 29, 91, 54]","[86, 108, 14, 27, 48]"
8807786712,7402360719,True,1778566063,1443,0,23,13,1,182,"[145, 14, 123, 6, 107]","[97, 92, 26, 28, 74]"
8807786697,7402361226,True,1778566068,1512,0,23,51,3,152,"[86, 84, 120, 121, 114]","[97, 22, 8, 137, 40]"
8807786691,7402353400,False,1778566038,400,0,22,21,1,145,"[1, 128, 98, 97, 31]","[26, 68, 17, 47, 114]"
8807786686,7402360616,True,1778566068,1431,0,23,43,5,184,"[12, 48, 2, 30, 36]","[123, 20, 57, 126, 86]"
8807786685,7402362397,True,1778566068,1599,7,22,75,6,181,"[71, 126, 75, 19, 86]","[28, 74, 41, 121, 33]"
8807786678,7402360678,True,1778566068,1463,0,23,22,4,183,"[32, 44, 74, 73, 41]","[46, 68, 123, 35, 26]"
8807786677,7402365955,True,1778566063,2038,7,22,33,3,154,"[135, 41, 71, 30, 86]","[84, 108, 85, 1, 113]"
8807786675,7402362405,False,1778566043,1667,0,23,75,2,381,"[86, 51, 16, 44, 7]","[121, 70, 106, 69, 26]"
8807786664,7402360141,False,1778566063,1362,0,23,21,1,183,"[2, 35, 77, 90, 47]","[20, 112, 109, 36, 74]"
8807786660,7402361090,False,1778566063,1476,0,23,65,1,185,"[102, 107, 135, 35, 44]","[84, 70, 20, 56, 71]"
8807786657,7402365021,True,1778566058,1938,7,22,41,6,183,"[110, 12, 31, 56, 17]","[22, 21, 39, 41, 73]"
8807786656,7402362487,True,1778566053,1644,0,23,53,2,423,"[113, 16, 87, 40, 74]","[88, 23, 138, 126, 85]"
8807786639,7402361051,False,1778566063,1473,0,23,15,1,185,"[136, 4, 119, 18, 114]","[6, 32, 2, 61, 145]"
8807786636,7402365077,True,1778566063,1967,7,22,32,2,272,"[145, 14, 15, 7, 37]","[11, 101, 123, 97, 12]"
