match_id,match_seq_num,radiant_win,start_time,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,role_Carry_radiant,role_Carry_dire,role_Disabler_radiant,role_Disabler_dire,role_Durable_radiant,role_Durable_dire,role_Escape_radiant,role_Escape_dire,role_Initiator_radiant,role_Initiator_dire,role_Nuker_radiant,role_Nuker_dire,role_Pusher_radiant,role_Pusher_dire,role_Support_radiant,role_Support_dire,attr_agi_radiant,attr_agi_dire,attr_all_radiant,attr_all_dire,attr_int_radiant,attr_int_dire,attr_str_radiant,attr_str_dire,attr_unknown_radiant,attr_unknown_dire,radiant_win_rate
8806518553,7401307057,True,1778483060,989,0,23,15,1,185,0.6,0.6,0.6,1.0,0.0,0.2,0.6,0.4,0.0,0.2,0.8,0.8,0.2,0.0,0.8,0.6,0.2,0.4,0.4,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1
8806518542,7401308183,False,1778483065,1115,0,23,11,1,185,0.8,0.8,0.8,0.6,0.0,0.2,0.4,0.4,0.0,0.2,0.8,0.6,0.2,0.4,0.4,0.2,0.2,0.6,0.2,0.0,0.6,0.2,0.0,0.2,0.0,0.0,0
8806518508,7401308475,False,1778483060,1155,0,23,45,2,151,0.6,0.8,0.8,0.8,0.4,0.6,0.6,0.6,0.4,0.6,0.8,0.4,0.2,0.4,0.4,0.0,0.4,0.4,0.0,0.0,0.4,0.0,0.2,0.6,0.0,0.0,0
8806518500,7401308464,True,1778483060,1172,0,23,41,4,227,0.6,0.8,0.6,1.0,0.2,0.8,0.4,0.4,0.6,0.6,0.6,0.4,0.4,0.0,0.2,0.2,0.4,0.2,0.2,0.0,0.2,0.2,0.2,0.6,0.0,0.0,1
8806518415,7401308067,True,1778483055,1132,0,23,44,7,183,0.6,0.6,0.8,0.8,0.4,0.2,0.4,0.8,0.4,0.4,0.6,0.6,0.0,0.0,0.4,0.4,0.6,0.6,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,1
8806518352,7401308060,True,1778483045,1130,0,23,13,1,183,0.6,0.4,0.8,1.0,0.0,0.6,1.0,0.2,0.4,1.0,0.4,0.8,0.2,0.2,0.4,0.2,0.6,0.4,0.2,0.2,0.2,0.0,0.0,0.4,0.0,0.0,1
8806518347,7401308232,False,1778483045,1153,0,23,51,5,172,0.4,0.2,1.0,0.8,0.2,0.8,0.4,0.4,0.6,0.2,0.8,0.8,0.4,0.0,0.4,0.6,0.2,0.2,0.2,0.0,0.4,0.2,0.2,0.6,0.0,0.0,0
8806518236,7401308240,False,1778483035,1157,0,23,52,4,183,0.4,0.6,1.0,0.6,0.6,0.2,0.4,0.2,0.8,0.2,0.8,0.8,0.2,0.4,0.4,0.6,0.2,0.0,0.0,0.2,0.2,0.6,0.6,0.2,0.0,0.0,0
8806518179,7401306514,True,1778483010,972,0,23,41,3,152,0.6,0.4,0.4,0.8,0.4,0.2,0.6,0.2,0.4,0.6,0.6,1.0,0.4,0.4,0.0,0.8,0.6,0.0,0.2,0.2,0.0,0.4,0.2,0.4,0.0,0.0,1
8806518135,7401307759,False,1778483025,1103,0,23,31,4,183,0.8,0.6,0.8,0.8,0.4,0.4,0.4,0.0,0.2,0.8,0.2,1.0,0.2,0.0,0.2,0.4,0.8,0.2,0.0,0.0,0.2,0.2,0.0,0.6,0.0,0.0,0
8806518099,7401308602,True,1778483025,1225,0,23,31,2,423,0.4,0.4,1.0,1.0,0.0,0.6,0.4,0.2,0.2,0.4,1.0,0.8,0.0,0.0,0.8,0.6,0.2,0.4,0.2,0.0,0.6,0.2,0.0,0.4,0.0,0.0,1
8806518087,7401308455,True,1778483020,1191,0,23,23,2,152,0.6,0.6,1.0,0.6,0.4,0.4,0.4,0.0,0.8,0.2,0.8,0.8,0.0,0.4,0.6,0.4,0.2,0.2,0.2,0.2,0.4,0.4,0.2,0.2,0.0,0.0,1
8806518077,7401308647,False,1778483020,1223,0,23,71,2,151,1.0,0.6,0.4,0.8,0.4,0.2,0.6,0.2,0.4,0.6,0.4,1.0,0.0,0.2,0.0,0.2,0.4,0.2,0.0,0.0,0.2,0.6,0.4,0.2,0.0,0.0,0
8806518054,7401308395,False,1778483020,1205,0,23,55,7,413,0.8,0.4,0.8,0.6,0.4,0.2,0.6,0.8,0.4,0.4,0.8,0.6,0.0,0.0,0.4,0.4,0.0,0.4,0.2,0.2,0.4,0.2,0.4,0.2,0.0,0.0,0
8806517926,7401306114,True,1778483005,934,0,23,14,1,183,0.2,1.0,0.6,0.6,0.2,0.0,0.0,0.6,0.0,0.0,0.8,0.4,0.4,0.4,0.6,0.2,0.0,0.6,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,1
8806517746,7401308276,True,1778482985,1217,0,23,15,2,184,0.6,0.6,0.4,0.8,0.2,0.2,0.4,0.8,0.2,0.4,0.8,0.6,0.0,0.4,0.2,0.4,0.6,0.6,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,1
8806517731,7401307269,False,1778482985,1022,7,22,33,4,185,0.6,0.8,1.0,0.8,0.6,0.4,0.4,0.2,0.8,0.6,0.8,0.8,0.2,0.0,0.4,0.6,0.2,0.0,0.2,0.4,0.4,0.2,0.2,0.4,0.0,0.0,0
